References	Qty	Mouser	Description
C2, C1	2	667-ECA-1EM101	CAPAPOL 100uF
C3, C4	2	594-CN15A220J	C 22pF Unpolarized capacitor
C5	1	594-D103Z25Z5VF63L6R	C 100nF Unpolarized capacitor
D1	1	863-1N4001G	DIODE 1N4001
D2	1	696-SLX-LX3044HD	LED
IC1	1	556-ATMEGA328P-PU	ATMEGA328P-PU PDIP28 Narrow, 16k Flash, 1kB SRAM, 512B EEPROM DIL28
IC1_SOCKET	1	571-1-2199298-9	28P DIP SKT 300 CL LADDER
P2	1	855-M20-7821446	CONN 01X14 Connector, single row, 01x14
P3	1	855-M20-7820446	CONN 01X04 Connector, single row, 01x04
P4	1	855-M20-7820842	CONN 01X08 Connector, single row, 01x08
P1	1	571-4-146278-0	CONN 01X06 FTDI Cable Pins Connector, single row, 01x06
R1	1	603-MFR-25FBF52-470R	R 470 Resistor
R2	1	603-MFR-25FBF52-10K	R 10K Resistor
SW1	1	653-B3W-1002	SPST Interrupteur simple
U1	1	863-NCP7805TG	7805 Linear Regulator +5V
X1	1	520-160-20-46X	CRYSTAL 16.0000MHZ 18PF T/H
